H, H, H, H, H, H, H, H, H, H, 
H, H, H, H, H, H, H, H, H, H, 
H, S, S, D, S, H, D, D, H, S, 
H, S, H, D, H, H, H, D, H, H, 
H, H, S, H, D, H, H, H, H, H, 
H, H, S, D, H, H, H, H, H, H, 
H, D, D, H, D, D, H, H, H, H, 
S, H, D, D, D, H, H, D, H, H, 
D, H, H, D, D, D, H, D, H, H, 
D, D, D, H, D, D, H, D, D, H, 
D, D, D, S, D, H, H, H, H, H, 
H, S, S, D, H, D, D, H, H, H, 
S, S, S, S, S, D, S, S, H, H, 
S, D, D, H, S, H, D, H, H, H, 
S, S, S, S, S, D, S, H, S, H, 
S, S, S, S, S, S, S, S, S, H, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
H, D, H, H, S, H, D, D, H, H, 
H, D, D, H, S, S, H, H, H, H, 
D, H, D, H, H, D, H, H, D, H, 
H, H, D, H, H, H, D, D, H, D, 
D, S, H, D, D, D, D, H, H, H, 
S, H, D, D, S, S, S, H, D, H, 
S, H, S, S, D, S, S, S, H, H, 
D, D, D, D, S, S, S, S, D, S, 
S, S, S, S, D, D, D, S, S, S, 

