alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,,
,,,,,,,,
0.01,1,0.01,0.399,0.5178,,,,
0.01,1,0.02,0.40335,0.5113,,,,
0.01,1,0.03,0.403166667,0.5109,,,,
0.01,1,0.04,0.402575,0.5113,,,,
0.01,1,0.05,0.40272,0.51002,,,,
0.01,1,0.06,0.4017,0.51225,,,games learned: ,10000
0.01,1,0.07,0.4032,0.511242857,,,games tested:  ,10000
0.01,1,0.08,0.4029875,0.5112375,,,,
0.01,1,0.09,0.402522222,0.511666667,,,,
0.01,1,0.1,0.40258,0.51201,,,,
0.01,1,0.11,0.402227273,0.512145455,,,,
0.01,1,0.12,0.4033,0.511166667,,,,
0.01,1,0.13,0.403215385,0.511584615,,,,
0.01,1,0.14,0.402664286,0.5124,,,,
0.01,1,0.15,0.403846667,0.51114,,,,
0.01,1,0.16,0.40396875,0.510775,,,,
0.01,1,0.17,0.403047059,0.511847059,,,,
0.01,1,0.18,0.403477778,0.51145,,,,
0.01,1,0.19,0.403373684,0.511315789,,,,
0.01,1,0.2,0.40377,0.5111,,,,
0.01,1,0.21,0.403509524,0.511590476,,,,
0.01,1,0.22,0.403027273,0.512422727,,,,
0.01,1,0.23,0.402591304,0.512943478,,,,
0.01,1,0.24,0.402454167,0.513308333,,,,
0.01,1,0.25,0.402748,0.513072,,,,
0.01,1,0.26,0.402780769,0.513130769,,,,
0.01,1,0.27,0.402948148,0.5129,,,,
0.01,1,0.28,0.402782143,0.513085714,,,,
0.01,1,0.29,0.40292069,0.512858621,,,,
0.01,1,0.3,0.403076667,0.512863333,,,,
0.01,1,0.31,0.403287097,0.512335484,,,,
0.01,1,0.32,0.403565625,0.51205625,,,,
0.01,1,0.33,0.403890909,0.51190303,,,,
0.01,1,0.34,0.403676471,0.512155882,,,,
0.01,1,0.35,0.4039,0.511928571,,,,
0.01,1,0.36,0.403738889,0.511913889,,,,
0.01,1,0.37,0.40372973,0.512086486,,,,
0.01,1,0.38,0.404163158,0.511602632,,,,
0.01,1,0.39,0.404161538,0.511482051,,,,
0.01,1,0.4,0.4040325,0.5115625,,,,
0.01,1,0.41,0.403912195,0.5116,,,,
0.01,1,0.42,0.404195238,0.51127619,,,,
0.01,1,0.43,0.404225581,0.511393023,,,,
0.01,1,0.44,0.404222727,0.511354545,,,,
0.01,1,0.45,0.40426,0.511444444,,,,
0.01,1,0.46,0.40425,0.511443478,,,,
0.01,1,0.47,0.40452766,0.511265957,,,,
0.01,1,0.48,0.404483333,0.511370833,,,,
0.01,1,0.49,0.404489796,0.511271429,,,,
0.01,1,0.5,0.404512,0.51098,,,,
0.01,1,0.51,0.404586275,0.510833333,,,,
0.01,1,0.52,0.404713462,0.510686538,,,,
0.01,1,0.53,0.404645283,0.510735849,,,,
0.01,1,0.54,0.404594444,0.510835185,,,,
0.01,1,0.55,0.404707273,0.510627273,,,,
0.01,1,0.56,0.404869643,0.510414286,,,,
0.01,1,0.57,0.404684211,0.510640351,,,,
0.01,1,0.58,0.40487069,0.510463793,,,,
0.01,1,0.59,0.404822034,0.510454237,,,,
0.01,1,0.6,0.405025,0.510311667,,,,
0.01,1,0.61,0.405081967,0.510347541,,,,
0.01,1,0.62,0.405116129,0.51028871,,,,
0.01,1,0.63,0.405206349,0.510142857,,,,
0.01,1,0.64,0.405270313,0.510001563,,,,
0.01,1,0.65,0.405398462,0.509909231,,,,
0.01,1,0.66,0.405265152,0.510040909,,,,
0.01,1,0.67,0.405434328,0.509808955,,,,
0.01,1,0.68,0.405472059,0.509838235,,,,
0.01,1,0.69,0.405498551,0.509705797,,,,
0.01,1,0.7,0.40562,0.509668571,,,,
0.01,1,0.71,0.405767606,0.509546479,,,,
0.01,1,0.72,0.405859722,0.509445833,,,,
0.01,1,0.73,0.405961644,0.509342466,,,,
0.01,1,0.74,0.405898649,0.509271622,,,,
0.01,1,0.75,0.405988,0.509153333,,,,
0.01,1,0.76,0.405897368,0.509236842,,,,
0.01,1,0.77,0.406009091,0.509076623,,,,
0.01,1,0.78,0.406138462,0.508915385,,,,
0.01,1,0.79,0.406363291,0.508560759,,,,
0.01,1,0.8,0.406295,0.50852375,,,,
0.01,1,0.81,0.406471605,0.508393827,,,,
0.01,1,0.82,0.406695122,0.508073171,,,,
0.01,1,0.83,0.406721687,0.508039759,,,,
0.01,1,0.84,0.406719048,0.508035714,,,,
0.01,1,0.85,0.406768235,0.508002353,,,,
0.01,1,0.86,0.406903488,0.507912791,,,,
0.01,1,0.87,0.406902299,0.507952874,,,,
0.01,1,0.88,0.4069375,0.507843182,,,,
0.01,1,0.89,0.406964045,0.50771236,,,,
0.01,1,0.9,0.407122222,0.507552222,,,,
0.01,1,0.91,0.407201099,0.507443956,,,,
0.01,1,0.92,0.407336957,0.507382609,,,,
0.01,1,0.93,0.407412903,0.507284946,,,,
0.01,1,0.94,0.407505319,0.507187234,,,,
0.01,1,0.95,0.407637895,0.507104211,,,,
0.01,1,0.96,0.407708333,0.507030208,,,,
0.01,1,0.97,0.407763918,0.506940206,,,,
0.01,1,0.98,0.407790816,0.506904082,,,,
0.01,1,0.99,0.407875758,0.506851515,,,,
0.02,1,0.01,0.407561,0.507153,,,,
0.02,1,0.02,0.407337624,0.507339604,,,,
0.02,1,0.03,0.407304902,0.507305882,,,,
0.02,1,0.04,0.407178641,0.507371845,,,,
0.02,1,0.05,0.407029808,0.507574038,,,,
0.02,1,0.06,0.406824762,0.507798095,,,,
0.02,1,0.07,0.406763208,0.507827358,,,,
0.02,1,0.08,0.406647664,0.507931776,,,,
0.02,1,0.09,0.406588889,0.507989815,,,,
0.02,1,0.1,0.406501835,0.508059633,,,,
0.02,1,0.11,0.40643,0.508163636,,,,
0.02,1,0.12,0.406358559,0.508265766,,,,
0.02,1,0.13,0.406260714,0.508390179,,,,
0.02,1,0.14,0.406246903,0.508464602,,,,
0.02,1,0.15,0.406248246,0.508451754,,,,
0.02,1,0.16,0.406253043,0.50841913,,,,
0.02,1,0.17,0.40624569,0.508419828,,,,
0.02,1,0.18,0.406182906,0.508515385,,,,
0.02,1,0.19,0.406189831,0.508523729,,,,
0.02,1,0.2,0.406194958,0.508494118,,,,
0.02,1,0.21,0.406269167,0.508406667,,,,
0.02,1,0.22,0.406209917,0.508502479,,,,
0.02,1,0.23,0.406212295,0.50852459,,,,
0.02,1,0.24,0.406179675,0.508488618,,,,
0.02,1,0.25,0.406169355,0.508491129,,,,
0.02,1,0.26,0.406088,0.5085864,,,,
0.02,1,0.27,0.405920635,0.508854762,,,,
0.02,1,0.28,0.405862992,0.508879528,,,,
0.02,1,0.29,0.405842188,0.508883594,,,,
0.02,1,0.3,0.405566667,0.509179845,,,,
0.02,1,0.31,0.405616923,0.509139231,,,,
0.02,1,0.32,0.405415267,0.509376336,,,,
0.02,1,0.33,0.40537197,0.509363636,,,,
0.02,1,0.34,0.405246617,0.509458647,,,,
0.02,1,0.35,0.40513209,0.509569403,,,,
0.02,1,0.36,0.405057037,0.509658519,,,,
0.02,1,0.37,0.404956618,0.509816912,,,,
0.02,1,0.38,0.404957664,0.509816058,,,,
0.02,1,0.39,0.404881884,0.509916667,,,,
0.02,1,0.4,0.404888489,0.509918705,,,,
0.02,1,0.41,0.404915714,0.509908571,,,,
0.02,1,0.42,0.40488156,0.509933333,,,,
0.02,1,0.43,0.404926056,0.509892958,,,,
0.02,1,0.44,0.404886713,0.509922378,,,,
0.02,1,0.45,0.404810417,0.50999375,,,,
0.02,1,0.46,0.40486,0.509918621,,,,
0.02,1,0.47,0.404928082,0.509836301,,,,
0.02,1,0.48,0.40487483,0.509891156,,,,
0.02,1,0.49,0.404791892,0.510021622,,,,
0.02,1,0.5,0.404734899,0.510099329,,,,
0.02,1,0.51,0.404658,0.510157333,,,,
0.02,1,0.52,0.404707285,0.510097351,,,,
0.02,1,0.53,0.404765789,0.510067105,,,,
0.02,1,0.54,0.404720915,0.510111111,,,,
0.02,1,0.55,0.404722078,0.510111039,,,,
