alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,
0.1,0.1,0.9,0.43540706,0.49624,,,
0.1,0.2,0.9,0.4348487,0.4953,,,
0.1,0.3,0.9,0.434576413,0.493723333,,,
0.1,0.4,0.9,0.427680495,0.5016575,,,
0.1,0.5,0.9,0.427509368,0.500436,,games learned: ,50000
0.1,0.6,0.9,0.425621973,0.501883333,,games tested:  ,100000
0.1,0.7,0.9,0.424700729,0.502555714,,,
0.1,0.8,0.9,0.42361946,0.503455,,,
0.2,0.3,0.9,0.421620658,0.507102308,,,
0.1,0.9,0.9,0.421557204,0.506113333,,,
0.2,0.2,0.9,0.421492867,0.507249167,,,
0.2,0.5,0.9,0.421418419,0.507330667,,,
0.2,0.4,0.9,0.421372726,0.507325,,,
0.2,0.1,0.9,0.4210401,0.507533636,,,
0.2,0.6,0.9,0.420808273,0.5079325,,,
0.1,1,0.9,0.420280674,0.508101,,,
0.2,0.7,0.9,0.420264434,0.508672941,,,
0.2,0.8,0.9,0.419895337,0.509081111,,,
0.2,0.9,0.9,0.419326183,0.509844737,,,
0.3,0.4,0.9,0.419313712,0.511022083,,,
0.3,0.5,0.9,0.419296926,0.5109996,,,
0.3,0.3,0.9,0.41927666,0.511246087,,,
0.3,0.1,0.9,0.419211666,0.511145238,,,
0.3,0.6,0.9,0.419187975,0.511017692,,,
0.2,1,0.9,0.419135002,0.5108965,,,
0.3,0.8,0.9,0.419128946,0.511366786,,,
0.3,0.2,0.9,0.41910511,0.511526818,,,
0.3,0.9,0.9,0.41910195,0.511848276,,,
0.3,0.7,0.9,0.41908403,0.511332963,,,
0.4,0.1,0.9,0.418677607,0.512856452,,,
0.3,1,0.9,0.418615589,0.512930667,,,
0.4,0.2,0.9,0.418275942,0.513209375,,,
0.4,0.3,0.9,0.41781402,0.513872727,,,
0.4,0.5,0.9,0.417501725,0.514053143,,,
0.4,0.4,0.9,0.4174258,0.514317647,,,
0.4,0.6,0.9,0.416881227,0.515081667,,,
0.4,0.8,0.9,0.416448942,0.515710526,,,
0.4,0.7,0.9,0.416437631,0.515661081,,,
0.4,0.9,0.9,0.416368204,0.515970769,,,
0.4,1,0.9,0.416112362,0.5168485,,,
0.5,0.1,0.9,0.41527508,0.518081707,,,
0.5,0.2,0.9,0.415074927,0.518390238,,,
0.5,0.3,0.9,0.414312498,0.519369767,,,
0.5,0.4,0.9,0.413928295,0.519803409,,,
0.5,0.5,0.9,0.413841267,0.519857556,,,
0.5,0.6,0.9,0.413495476,0.520188913,,,
0.5,0.7,0.9,0.41349022,0.520218936,,,
0.5,0.8,0.9,0.413099372,0.520679375,,,
0.5,0.9,0.9,0.412854254,0.521184082,,,
0.5,1,0.9,0.41274633,0.5217284,,,
0.6,0.3,0.9,0.412333838,0.522192075,,,
0.6,0.1,0.9,0.412278305,0.522295294,,,
0.6,0.2,0.9,0.412223189,0.522341538,,,
0.6,0.4,0.9,0.411908261,0.522611111,,,
0.6,0.5,0.9,0.411714548,0.522893091,,,
0.6,0.6,0.9,0.411300458,0.523361607,,,
0.6,0.7,0.9,0.411088468,0.523610702,,,
0.6,0.8,0.9,0.410996816,0.523846379,,,
0.6,0.9,0.9,0.410675533,0.52430678,,,
0.6,1,0.9,0.41040718,0.524869667,,,
0.7,0.1,0.9,0.410010155,0.525374918,,,
0.7,0.2,0.9,0.409609094,0.525788548,,,
0.7,0.3,0.9,0.409333027,0.526061429,,,
0.7,0.4,0.9,0.409096445,0.526369844,,,
0.7,0.5,0.9,0.408939842,0.526512308,,,
0.7,0.6,0.9,0.40825328,0.527525606,,,
0.7,0.7,0.9,0.407718855,0.528302537,,,
0.7,0.8,0.9,0.407687801,0.528361176,,,
0.7,0.9,0.9,0.407601901,0.528629565,,,
0.7,1,0.9,0.407594528,0.528889,,,
0.8,0.1,0.9,0.407430661,0.528942535,,,
0.8,0.2,0.9,0.407329939,0.5289925,,,
0.8,0.3,0.9,0.406753787,0.529659452,,,
0.8,0.4,0.9,0.40658431,0.529913784,,,
0.8,0.5,0.9,0.406385437,0.530190267,,,
0.8,0.6,0.9,0.406126629,0.530574605,,,
0.8,0.7,0.9,0.405986134,0.530785325,,,
0.8,0.8,0.9,0.405734309,0.531140513,,,
0.8,0.9,0.9,0.405477734,0.531601646,,,
0.8,1,0.9,0.405423128,0.5318595,,,
0.9,0.1,0.9,0.405158858,0.532125432,,,
0.9,0.2,0.9,0.404889307,0.532421829,,,
0.9,0.3,0.9,0.404554493,0.532794819,,,
0.9,0.4,0.9,0.404195031,0.533157381,,,
0.9,0.5,0.9,0.40405837,0.533347765,,,
0.9,0.6,0.9,0.403979953,0.533457442,,,
0.9,0.7,0.9,0.403756795,0.533776667,,,
0.9,0.8,0.9,0.40360357,0.534011136,,,
0.9,0.9,0.9,0.403225495,0.53458,,,
0.9,1,0.9,0.40314086,0.534839889,,,
1,0.1,0.9,0.402985365,0.535023736,,,
1,0.2,0.9,0.402962275,0.535031957,,,
1,0.3,0.9,0.402899657,0.535087204,,,
1,0.4,0.9,0.40270076,0.535317979,,,
1,0.5,0.9,0.402487548,0.535524632,,,
1,0.6,0.9,0.402353311,0.535736875,,,
1,0.7,0.9,0.402336542,0.535794639,,,
1,0.8,0.9,0.402127664,0.53610051,,,
1,1,0.9,0.40203409,0.5363972,,,
1,0.9,0.9,0.402011576,0.536322828,,,
